7;5;4;4;15;14;10;5;14;9;11;9;1;6;10;9;6;6;10;5;6;4;7;9;5;10;1;1;6;2;11;1;10;5;9;6;7;7;2;5;10;5;6;10;9;2;11;4;5;4;14;9;4;14;6;2;10;12;7;9;6;7;12;5;9;7;5;12;7;12;9;12;6;7;5;9;5;9;9;5;16;11;11;11;7;7;7;7;6;2;6;6;7;0;9;11;4;9;6;2;7;14;10;7;7;7;5;9;9;1;16;12;11;24;24;34;26;14;5;6;6;4;7;11;6;10;10;5;4;2;5;1;9;9;7;10;5;5;5;9;12;7;7;4;6;4;2;12;7;6;6;12;5;5;12;10;7;6;16;15;14;11;12;4;5;5;6;6;12;4;7;7;6;9;11;7;7;11;7;6;7;6;6;5;2;4;4;5;9;5;4;2;7;12;2;9;5;1;4;6;6;5;6;5;6;9;12;10;7;7;14;11;19;5;5;7;1;5;5;9;9;9;9;10;7;9;9;9;7;7;10;9;5;9;7;14;12;7;9;6;10;10;5;9;15;17;10;6;5;14;14;11;6;7;11;6;7;6;14;14;1;7;15;9;17;10;12;9;12;7;11;5;6;5;4;2;9;1;5;6;5;6;5;6;6;1;1;6;1;10;6;9;5;9;9;11;1;10;7;9;12;12;5;6;7;5;11;7;5;11;6;9;9;9;12;6;9;5;15;6;2;7;11;12;22;17;19;30;21;21;16;2;5;10;10;6;5;2;7;6;12;5;14;26;9;25;20;4;15;6;6;12;14;14;19;12;30;17;20;9;9;6;5;7;12;25;44;29;16;10;9;5;4;10;10;12;6;9;5;4;7;4;11;10;9;6;12;10;5;15;10;6;9;12;6;9;11;12;9;12;5;9;7;5;7;2;5;6;9;11;5;9;7;4;5;12;5;16;2;6;5;10;12;11;2;4;6;1;9;5;9;9;2;15;10;10;11;5;17;9;4;9;2;5;4;6;5;4;7;6;2;2;10;10;15;9;5;11;9;10;10;6;4;6;8;8;5;6;6;4;10;4;11;9;4;2;5;8;9;2;5;8;8;10;5;12;5;11;9;11;4;10;10;10;10;10;12;11;9;9
9;5;6;11;11;18;6;14;8;9;8;20;16;11;4;12;5;10;6;9;6;6;5;4;4;5;12;8;4;8;2;4;5;8;5;10;5;12;8;18;2;8;6;10;9;5;2;6;8;2;15;4;8;8;2;4;10;5;6;5;6;6;12;6;10;10;12;5;9;9;10;11;8;8;0;8;8;5;6;6;9;12;5;10;4;4;10;8;6;2;9;6;10;1;9;6;6;9;2;8;9;8;9;12;8;6;4;8;9;9;10;6;11;25;12;19;6;12;1;9;10;8;8;6;6;6;4;2;5;4;4;10;1;5;6;9;4;9;8;12;10;9;15;5;19;6;5;9;5;12;10;9;15;12;2;10;10;11;11;9;10;8;6;5;5;5;9;12;6;6;10;5;14;12;8;10;5;8;8;6;9;4;2;5;10;11;8;4;8;2;5;2;9;6;6;4;8;1;11;1;2;9;5;6;10;10;9;11;5;6;9;8;9;14;9;8;2;4;1;6;14;6;15;6;11;12;8;11;10;6;9;5;6;4;1;8;11;14;8;10;12;10;9;12;4;8;10;12;6;11;10;15;8;8;9;9;2;5;11;11;9;11;11;12;9;9;9;2;8;0;5;8;4;4;5;4;5;6;6;5;5;1;4;4;9;6;6;5;5;10;1;2;6;2;9;5;4;2;4;8;6;8;8;8;4;9;6;6;10;11;9;2;8;4;12;10;5;1;12;4;9;6;26;20;16;18;18;15;18;9;6;9;4;5;6;9;5;8;8;2;6;6;14;18;11;16;20;14;10;6;18;16;14;11;8;12;12;8;10;11;10;8;8;8;15;25;22;16;8;5;9;5;4;9;14;6;9;5;5;5;4;6;1;2;4;11;9;5;12;2;8;5;9;5;15;15;10;12;5;8;11;11;8;10;5;5;4;5;6;8;6;8;5;11;5;8;1;5;9;2;5;4;8;5;8;5;8;6;9;2;5;2;5;8;15;4;8;14;12;5;8;6;9;4;4;4;4;5;6;8;5;2;9;6;2;6;10;8;8;10;9;5;10;8;6;6;4;4;9;8;11;1;6;8;6;6;11;2;6;6;11;5;12;9;10;12;5;10;5;11;8;8;6;4;9;11;4;14;4;8
10;10;12;12;5;6;10;9;8;4;9;14;10;10;5;9;6;8;2;5;5;4;2;2;0;2;8;8;10;8;9;10;4;6;2;4;5;9;9;8;8;8;9;9;9;1;5;6;4;8;2;5;9;5;11;9;6;16;5;11;16;10;5;14;1;15;5;8;9;6;8;11;9;11;2;11;11;5;10;5;11;16;15;12;4;11;6;4;4;2;4;9;9;6;5;14;9;4;4;4;9;12;11;10;10;9;2;5;9;9;12;10;10;19;10;14;10;5;6;10;6;5;5;5;8;9;5;9;5;8;5;8;9;8;6;9;12;5;8;12;5;14;2;4;10;2;4;15;5;9;6;5;8;9;14;16;19;19;19;15;8;9;5;4;10;8;10;2;4;14;6;8;12;9;9;5;15;2;5;11;11;11;10;4;8;4;10;2;10;4;14;9;6;6;11;9;8;4;6;2;8;6;2;8;5;10;10;12;8;11;8;10;5;2;4;9;9;9;9;6;9;18;22;12;11;15;5;8;6;5;8;8;8;8;9;8;10;10;14;9;10;11;11;6;4;6;8;1;4;9;16;10;10;5;11;11;10;10;10;6;10;8;6;12;4;12;8;1;4;9;10;2;5;5;4;2;4;8;2;4;10;9;9;4;6;5;2;5;5;9;2;11;5;1;2;5;2;5;8;11;6;12;8;9;8;2;6;6;9;5;6;4;6;5;2;2;9;12;5;5;6;11;15;19;18;10;8;9;6;4;9;9;9;6;6;6;8;5;2;1;5;8;9;24;29;35;25;18;12;9;9;8;10;8;8;8;8;9;8;9;5;6;5;9;19;16;16;16;4;4;10;4;9;15;8;9;8;4;4;4;11;8;5;8;2;2;6;6;6;9;5;10;11;11;9;9;1;5;18;6;2;6;6;10;11;4;11;8;5;9;5;8;6;2;11;9;6;9;11;8;10;4;9;10;4;4;16;4;9;8;9;6;10;14;8;8;14;16;5;9;4;2;9;0;8;12;4;8;6;9;9;9;11;8;14;5;9;5;11;2;4;4;4;4;8;8;10;5;5;2;8;10;8;10;6;1;4;5;9;2;9;5;10;5;9;11;10;20;11;9;11;11;6;8;9;6;11;11;10;5
11;11;6;4;11;2;8;15;10;12;2;4;8;11;6;6;6;4;9;5;6;4;4;6;11;9;4;8;10;10;8;8;4;8;8;9;2;10;10;8;11;4;12;6;9;5;10;6;8;5;6;5;9;4;12;8;8;5;9;14;6;8;6;15;5;16;8;12;5;10;4;10;11;10;8;9;5;11;4;16;2;9;4;8;2;5;0;2;9;4;9;2;5;6;8;2;12;8;9;10;4;15;16;9;2;4;8;14;4;9;10;5;11;12;14;14;8;4;9;10;9;10;5;5;2;11;15;9;10;6;12;5;4;4;8;11;4;6;4;8;16;2;19;12;9;15;14;9;10;4;8;12;8;16;14;36;24;26;11;14;8;10;14;8;8;4;8;9;9;16;14;8;4;11;6;10;8;5;8;6;6;6;6;11;10;8;12;10;0;9;1;8;9;9;16;6;6;8;8;4;9;11;11;10;12;6;5;10;6;8;9;5;6;8;5;6;5;4;9;11;18;21;35;22;6;8;8;2;4;14;8;10;6;2;5;11;14;5;8;10;10;16;9;8;2;2;5;6;8;5;8;5;8;5;10;2;14;12;14;10;10;8;10;5;5;5;6;8;5;8;5;10;5;8;10;6;6;11;4;4;9;5;4;8;9;8;8;9;5;4;4;8;6;6;6;4;16;8;6;5;5;4;6;12;6;8;5;4;12;6;6;8;2;4;8;5;2;12;8;4;5;11;10;15;8;9;9;5;5;4;15;6;2;2;1;2;4;9;2;8;8;2;21;18;21;20;11;9;11;16;10;11;9;11;12;6;8;8;8;6;21;11;10;12;15;10;9;8;6;8;6;1;9;11;5;8;8;11;5;5;8;1;9;8;15;6;14;9;8;15;15;5;11;12;5;6;6;8;5;8;10;9;10;9;8;12;5;5;5;2;4;9;8;8;8;5;5;9;8;4;4;6;9;4;8;8;4;2;8;5;6;6;6;5;11;5;11;9;9;2;9;4;6;12;8;4;2;6;2;4;8;6;19;5;12;2;10;8;6;5;5;14;8;5;6;5;8;2;2;1;10;5;8;1;2;4;8;12;9;10;8;5;4;5;8;10;4;12;10;6;9;8;6;10;12;6;9;11;9;8
6;15;11;6;11;11;8;2;5;16;6;8;10;9;8;9;5;6;8;12;9;6;4;2;8;15;6;11;12;8;12;12;6;11;8;6;8;10;5;6;9;14;6;9;2;4;4;4;5;4;8;5;4;6;9;9;9;9;5;12;11;15;9;11;9;11;9;8;6;5;11;9;12;8;11;9;6;9;10;6;12;8;4;2;11;8;5;9;10;9;5;1;6;14;10;6;4;4;9;5;5;12;4;4;5;9;6;6;9;11;9;15;12;18;10;9;8;1;9;2;14;4;5;9;8;8;8;4;6;8;6;5;5;4;12;9;10;11;11;6;11;9;9;8;9;6;8;11;15;12;12;15;21;19;19;19;26;28;26;15;9;5;9;8;6;6;5;9;6;2;8;9;6;5;10;8;6;10;10;9;9;12;6;8;11;8;12;11;8;4;8;9;11;9;6;15;10;2;5;12;18;12;11;12;8;11;10;10;4;10;5;11;12;5;8;6;15;8;6;6;18;25;22;29;8;9;8;8;8;2;5;2;9;11;6;9;4;11;10;14;14;4;5;4;9;10;10;4;8;12;5;4;4;9;11;6;9;2;8;12;14;10;10;14;12;8;6;2;8;10;9;6;2;2;2;10;5;8;11;4;10;4;6;6;2;8;1;8;0;2;1;6;5;9;5;2;4;10;5;6;8;4;6;9;2;5;6;9;9;9;4;8;14;8;5;2;8;11;2;11;8;8;6;12;5;8;8;14;10;9;6;10;5;6;9;4;6;8;14;2;5;4;9;20;18;24;14;5;6;11;10;10;12;15;8;8;6;9;9;4;9;11;4;2;9;9;1;4;6;8;10;8;9;10;2;14;5;8;4;9;6;5;8;1;1;2;5;14;6;9;9;6;8;8;9;6;4;10;9;11;6;8;5;8;8;11;8;9;4;2;8;6;9;8;10;8;6;14;4;8;5;10;2;4;9;8;5;6;8;5;10;10;2;5;10;9;9;8;2;6;9;10;5;9;5;6;10;10;8;5;9;5;9;6;6;9;5;10;2;5;5;2;6;11;4;6;5;2;9;1;12;11;6;8;9;11;5;10;12;6;9;10;6;5;5;5;14;12;5;5;9;5;11;5;10;6;6;10;16;9
12;12;5;8;5;10;11;10;8;8;4;12;8;5;6;9;2;6;5;9;1;6;8;5;5;9;6;12;11;6;10;9;5;2;5;6;6;10;2;10;8;6;8;6;8;6;6;8;5;5;1;6;5;9;5;11;14;4;8;6;11;11;10;6;11;4;8;9;9;6;4;20;11;1;16;12;6;15;2;9;5;6;9;10;9;12;8;8;8;8;8;4;4;8;2;9;8;5;10;4;6;6;18;9;2;6;2;8;11;2;10;8;12;6;10;8;9;6;8;5;6;14;5;6;6;8;9;6;8;5;4;4;9;10;6;2;8;9;12;8;8;15;5;8;10;6;11;10;6;10;15;21;19;18;19;12;12;20;8;8;5;6;11;9;8;9;6;5;14;14;4;6;4;8;14;6;0;8;8;6;11;5;6;10;11;4;5;5;4;6;8;9;12;12;8;8;2;6;8;12;9;9;19;9;12;8;2;8;5;6;9;4;6;9;9;6;4;10;9;5;16;31;21;18;19;14;12;11;11;9;2;2;8;4;6;6;6;8;10;8;12;6;8;8;8;4;9;8;5;8;10;10;8;6;5;5;6;15;11;8;14;4;5;8;4;5;8;9;4;8;8;5;6;9;4;4;8;6;4;10;5;4;9;5;1;2;2;4;4;5;5;6;6;2;9;4;12;4;6;8;6;8;5;11;4;8;10;5;11;8;6;11;2;8;9;10;8;5;6;1;12;9;6;8;5;6;10;15;8;4;6;10;9;4;4;4;4;2;8;6;10;4;6;10;16;5;8;10;15;6;19;12;1;4;6;6;8;6;6;2;8;10;9;10;6;9;6;9;6;5;5;5;11;6;8;10;6;18;9;5;2;4;8;6;0;5;9;10;6;12;10;6;12;9;4;6;12;10;9;8;8;1;8;12;15;5;6;10;8;4;5;5;9;6;9;10;8;6;11;10;6;10;5;4;5;12;6;6;9;12;9;5;9;12;21;5;10;9;2;12;8;8;9;8;6;8;6;2;8;2;4;4;4;5;5;5;6;12;2;9;6;10;10;4;4;6;10;4;0;1;2;4;6;4;10;9;5;6;8;8;10;6;6;6;8;6;6;10;12;8;15;11;12;12;9;9;5;12;9;9
9;8;11;9;6;6;12;4;15;14;6;12;12;1;6;11;11;9;6;9;10;12;4;6;4;10;2;6;5;10;2;1;2;6;6;10;2;5;9;10;2;15;6;4;11;5;11;6;8;6;5;8;2;6;15;12;10;9;10;6;10;6;5;8;14;6;8;4;1;10;8;5;9;14;9;10;5;9;15;14;10;6;4;5;8;5;8;8;8;5;5;5;4;10;2;1;5;9;5;5;11;11;8;4;5;8;5;4;5;8;9;10;9;9;10;6;5;5;4;9;4;2;10;2;5;6;4;5;15;5;10;9;5;2;8;2;9;5;10;9;8;5;10;9;11;10;14;5;9;6;11;20;18;20;12;9;16;8;6;5;10;6;9;8;12;10;6;9;12;4;6;5;4;8;8;6;9;6;10;6;5;11;9;8;6;6;12;6;6;5;6;12;8;15;8;4;8;8;12;10;8;9;8;10;10;6;11;9;11;5;8;5;8;9;6;5;11;6;4;8;22;22;21;30;30;26;14;18;6;6;1;5;4;9;8;9;15;9;10;5;10;10;10;8;6;6;2;6;4;8;10;8;5;5;9;9;4;11;11;14;8;9;9;1;5;9;5;5;5;5;9;8;2;9;5;9;10;1;4;5;2;8;4;9;2;11;10;11;1;9;2;8;4;6;5;10;9;6;8;5;9;1;5;5;4;6;1;10;6;6;9;8;10;6;2;5;6;6;5;6;5;9;9;9;9;14;8;8;8;10;8;8;6;5;1;5;8;8;8;6;2;6;10;4;2;15;11;9;5;12;12;18;12;12;6;12;10;9;5;6;6;10;10;4;9;5;1;8;2;8;9;8;8;12;9;8;10;9;10;8;6;8;9;8;8;2;5;14;16;10;5;5;9;9;6;12;9;8;5;6;1;9;4;10;1;5;5;5;6;10;12;12;14;12;5;10;9;19;9;4;10;6;8;6;6;6;6;4;4;10;9;9;10;5;6;6;4;6;4;4;4;6;5;9;10;6;6;5;9;2;4;9;6;4;4;5;6;5;6;4;12;8;4;4;5;8;8;6;9;11;9;5;10;5;14;2;9;9;6;6;8;4;9;6;9;9;5;5;12;9;10;12;9;6;5;10;6;9;6;6
8;9;6;8;11;16;10;22;14;16;9;8;6;10;10;10;6;5;8;9;1;10;2;9;6;5;6;6;11;21;11;8;6;2;10;4;6;5;9;8;14;10;11;16;8;11;5;2;12;5;2;8;5;6;1;19;14;5;11;6;11;10;10;4;11;6;8;11;8;2;9;9;9;12;4;6;8;8;5;10;2;9;5;12;4;9;10;5;4;8;2;8;5;2;4;4;4;2;4;11;14;15;10;4;5;4;1;6;6;8;6;10;11;14;6;5;8;1;5;2;5;11;1;4;8;6;6;2;5;8;9;12;4;6;4;4;5;2;6;5;8;8;4;14;2;5;8;15;8;9;6;5;9;9;6;10;12;15;9;12;9;10;11;10;9;10;11;6;8;5;6;6;4;4;8;14;6;9;4;12;9;2;11;4;5;14;10;8;4;6;2;5;5;12;5;10;2;8;4;9;5;8;10;8;8;4;10;14;10;10;10;9;8;12;11;6;6;6;14;9;10;24;22;19;28;22;18;12;4;2;2;14;5;4;8;5;8;12;14;4;5;8;4;6;6;12;14;6;4;8;14;8;10;11;6;11;12;8;15;14;8;10;5;10;5;2;4;9;6;8;2;4;6;6;10;5;10;5;8;2;5;10;9;11;11;11;9;8;0;8;10;4;6;9;8;6;5;8;6;2;2;11;2;8;9;10;6;8;9;4;2;4;9;4;4;10;5;10;6;11;5;5;6;10;8;10;10;6;6;4;12;8;12;5;6;11;11;2;9;12;8;11;12;15;6;9;14;10;16;11;11;10;6;19;9;8;9;9;6;4;14;6;10;5;9;5;2;11;8;4;2;9;9;16;9;6;8;6;6;6;5;6;9;8;8;12;10;8;4;9;10;11;9;2;8;10;6;14;12;6;10;2;8;14;5;11;6;4;6;12;14;5;6;1;5;6;11;14;12;10;9;6;4;8;4;5;6;6;4;2;11;6;10;9;4;5;6;4;8;12;9;8;5;8;5;9;10;4;9;8;4;5;6;2;9;11;8;0;5;9;5;5;11;4;10;5;9;9;10;10;5;6;15;5;4;8;8;11;14;12;4;4;2;5;1;12;6;14;14;9;9;10;14;8;8;10;6;4;6;8
11;9;10;6;12;18;31;28;21;28;8;8;5;9;9;5;9;8;5;8;12;5;4;11;6;11;10;9;8;9;6;9;18;11;8;10;9;10;9;10;9;4;11;6;9;9;5;6;8;8;8;6;8;6;12;0;10;4;2;11;11;9;8;11;8;5;9;10;11;10;6;11;14;12;6;16;10;4;9;4;8;12;9;15;6;4;10;6;10;8;8;8;6;6;14;1;11;4;6;6;8;14;5;11;12;1;8;5;6;12;6;10;16;12;5;6;4;5;5;9;15;1;2;8;4;5;4;2;4;9;11;8;9;6;5;6;9;9;6;9;9;6;5;11;9;5;8;10;8;8;0;4;8;5;8;15;19;10;6;14;11;15;5;6;11;8;10;12;10;8;4;5;8;8;8;2;4;5;9;2;11;19;5;6;4;8;5;10;6;2;11;10;4;5;10;5;5;4;2;9;9;11;12;12;10;2;5;9;5;6;11;6;8;5;4;5;8;8;4;8;10;25;26;24;15;19;12;2;4;1;5;2;8;4;11;9;16;19;11;10;11;6;6;2;8;10;12;14;8;9;9;9;6;10;9;6;12;11;4;6;2;12;6;1;8;10;4;9;11;5;8;4;6;8;10;8;8;6;9;10;4;8;12;8;6;6;6;5;9;10;6;5;2;10;8;4;2;9;9;5;9;2;8;9;9;6;6;5;4;11;10;4;6;9;15;10;6;10;11;5;9;6;9;10;9;6;4;6;6;5;5;0;11;8;4;8;6;6;14;14;9;10;4;6;14;5;9;4;14;9;10;8;9;5;5;12;1;11;2;9;5;6;8;6;8;10;5;6;1;4;6;5;14;11;9;5;9;9;8;9;9;4;2;5;6;9;6;9;8;8;6;6;4;12;2;6;9;5;14;8;14;6;5;10;8;9;11;15;10;6;2;5;9;5;6;10;4;4;11;5;11;8;9;8;10;4;5;2;9;5;11;11;11;6;2;2;6;6;6;11;9;5;10;8;6;16;5;5;8;5;2;5;4;1;0;9;2;9;9;8;4;6;8;2;9;6;10;6;11;12;9;9;10;12;10;10;11;9;8;4;5;12;5;4;5;11;4;8;5;9;8;11;12;12;6;10;6;11;8;5
6;5;6;14;14;15;22;24;20;16;18;4;5;6;8;4;6;8;6;8;6;5;4;6;5;9;4;8;6;9;9;9;4;6;12;2;6;5;6;5;5;5;9;6;8;6;1;5;15;2;4;6;8;9;6;16;9;16;8;5;12;6;16;12;12;6;4;12;12;6;9;9;10;9;18;9;2;4;4;16;16;25;30;9;11;11;6;6;5;10;9;11;11;5;4;8;2;5;4;4;6;11;5;8;5;6;2;2;6;11;6;9;1;6;4;4;9;5;6;5;5;4;11;4;6;14;1;6;8;6;4;0;5;2;8;4;6;6;11;15;15;11;18;5;10;8;6;4;5;4;9;10;1;5;8;11;8;8;9;6;10;9;8;10;5;5;12;9;12;10;4;9;10;4;4;8;4;12;1;8;6;11;4;14;11;6;8;5;6;11;6;10;10;5;4;12;4;6;6;5;2;6;9;14;9;10;10;11;12;4;8;8;9;9;4;4;4;5;2;9;12;14;25;24;15;11;12;10;4;6;2;5;9;6;5;6;6;11;4;9;9;6;5;5;4;14;8;12;19;14;9;10;11;4;12;9;16;14;18;6;6;4;11;2;1;8;10;6;8;6;5;8;5;8;8;9;6;9;4;6;8;5;12;8;8;10;8;8;5;9;4;6;1;10;10;5;5;6;8;6;9;5;10;2;12;10;9;8;5;5;4;2;6;10;15;6;12;8;9;11;10;10;11;14;8;8;8;8;5;9;11;4;10;4;5;5;0;8;2;6;9;2;9;6;10;10;6;6;6;9;12;5;9;12;5;15;18;11;2;10;4;10;10;5;6;4;2;15;8;8;9;6;4;4;9;8;10;12;5;8;8;1;4;12;5;12;8;8;9;8;14;11;6;6;11;12;5;4;16;9;11;11;6;8;8;8;8;10;14;8;6;2;8;8;8;10;4;2;8;8;5;4;8;6;4;4;4;8;8;6;2;2;11;5;5;6;4;5;6;5;2;4;10;6;2;9;6;4;4;5;4;6;4;8;9;10;8;2;8;14;2;8;2;2;5;5;8;4;6;10;16;5;2;15;2;8;9;2;8;8;4;2;9;9;8;6;5;10;11;8;9;6;5;9;9;4;8;9;9;9
